id,full_name,midterm,assignment_1,assignment_2,assignment_3,final,course
1,Jaclin Salaman,78,80,50,63,40,English
2,Anthe Parncutt,79,95,65,40,41,Databases
3,Dalia Twentyman,71,58,52,96,95,Databases
4,Lorrayne Hooks,37,67,56,47,49,Math
5,Ardra Whate,68,81,64,54,100,Algorithms
6,Jodi Chapelhow,85,95,62,80,97,Databases
7,Lyndsay Goracci,85,63,91,86,99,English
8,Nollie Hulmes,74,72,77,68,36,Math
9,Bourke Cartmail,46,48,65,51,75,Databases
10,Kristien Bangiard,80,55,60,71,76,English
11,Gennie Galilee,42,48,96,61,74,Programming
12,Dori Hiseman,56,85,68,97,53,English
13,Helsa Daburn,99,58,45,72,42,Math
14,Harbert Pharro,56,84,47,92,69,Databases
15,Alec Wykey,71,56,72,43,46,Programming
16,Ainslee Youles,100,75,69,79,91,English
17,Milty Challiner,31,42,59,66,94,Math
18,Ludovika Emmens,83,88,92,92,34,English
19,Stefano Gilstin,97,70,42,57,86,Databases
20,Elke Mole,66,51,81,50,60,Programming
21,Reese Duesbury,39,91,71,91,85,Databases
22,Rey Brighouse,52,89,50,62,100,Algorithms
23,Geneva Bettenay,33,70,43,91,45,English
24,Amie Shafe,58,54,61,82,59,Programming
25,Lynnelle Nevitt,98,66,67,75,65,Algorithms
26,Barrett Hentzer,36,85,69,83,99,English
27,Marlo Crus,35,60,66,93,52,English
28,Shelden Fahy,98,75,56,66,63,Algorithms
29,Leoine Older,65,94,43,41,86,English
30,Agna Mahaddie,39,98,57,81,80,English
31,Lucina Mouan,90,96,70,75,57,Databases
32,Ky Betty,85,88,100,59,30,Math
33,Alvinia Shelmerdine,55,90,63,98,99,English
34,Shana Dymidowski,74,67,61,53,68,Databases
35,Analiese MacLaig,57,43,55,80,33,English
36,Alexis Luckcock,89,81,52,87,50,Math
37,Thomasine Ridsdale,96,97,56,95,62,Algorithms
38,Ermengarde Nuccii,55,56,60,51,60,English
39,Susana Bourchier,80,57,43,57,88,English
40,Wolfgang Lukasen,40,85,87,72,68,English
41,Janine Hartshorn,76,59,53,65,32,English
42,Lynett Fayre,31,65,93,40,31,Math
43,Karly Ende,62,82,87,84,80,Programming
44,Stewart Oldroyd,75,84,40,95,41,Programming
45,Daryle Baggett,85,65,66,78,87,English
46,Isidoro Hatje,41,74,53,79,75,Algorithms
47,Garnet Friedman,43,48,59,55,65,Programming
48,Crysta Lambell,59,92,99,97,86,Programming
49,Fee Parfrey,51,42,64,97,99,Databases
50,Hannah Reubbens,44,76,84,50,64,English
51,Helaina Coggin,45,62,76,62,38,Algorithms
52,Milicent Ashforth,82,74,88,74,91,Programming
53,Chrysa Hews,95,98,66,46,48,Programming
54,Guillema Rosenthaler,64,40,57,65,93,Programming
55,Whittaker Plet,41,98,67,89,72,Algorithms
56,Paule Henkens,44,64,44,73,54,Math
57,Annora Reeders,71,62,43,41,33,English
58,Boycie Fluin,43,83,72,56,42,Algorithms
59,Laughton MacMeanma,68,42,80,85,46,Databases
60,Celeste McGragh,45,47,81,77,72,Math
61,Carma Gingold,44,75,90,78,68,Algorithms
62,Marj Frandsen,56,92,72,70,59,Algorithms
63,Winifield Scartifield,91,46,58,58,86,Programming
64,Aubrette Riding,57,58,64,91,61,Algorithms
65,Mayor Rennix,97,66,78,67,58,Programming
66,Constantine Smout,50,81,78,79,69,Programming
67,Beatrice Impey,80,88,91,94,40,Math
68,Aloin Jurczik,47,50,47,41,34,Programming
69,Cristiano Swallwell,31,99,59,66,74,Programming
70,Sylvan Dalyiel,37,45,64,75,64,Algorithms
71,Phip Shegog,83,91,90,81,78,Algorithms
72,Lilli Cardwell,58,84,86,43,69,Algorithms
73,Cynde Angier,83,66,92,85,92,English
74,Stormy Bleything,31,81,50,48,85,Algorithms
75,Arv Crothers,76,84,58,87,72,English
76,Errick Summerside,73,88,90,97,100,Databases
77,Karrie Kigelman,40,100,63,81,59,English
78,Ian McComb,87,66,56,86,40,English
79,Lane Guerro,70,72,45,78,52,English
80,Cahra Griswaite,85,89,69,70,54,Databases
81,Nikolos Drewet,74,85,50,50,95,Programming
82,Cthrine Broggetti,87,41,96,98,96,Programming
83,Glenda Lovemore,79,78,77,62,69,Programming
84,Sara-ann Whitechurch,79,48,50,62,42,Algorithms
85,Connor Compfort,100,86,76,64,39,Math
86,Bendick Castard,61,83,90,63,80,Algorithms
87,Hedwig Christopher,47,78,88,98,75,Math
88,Humphrey Silkston,30,93,91,64,59,Programming
89,Karleen Klagge,30,97,48,92,83,English
90,Benjamin Semark,83,79,45,94,66,Algorithms
91,Sofia Fee,48,41,42,93,70,English
92,Kienan Snozzwell,68,43,85,85,71,Databases
93,Owen Byrch,75,72,65,90,90,Math
94,Merrill Le Maitre,51,81,95,84,97,English
95,Sallyanne Raper,80,80,81,74,60,Databases
96,Bran Adriano,31,68,74,66,92,Programming
97,Becky Frodsham,63,64,88,100,93,Math
98,Marji Beswell,73,72,68,44,99,Math
99,Jammal Ivanyushin,91,86,72,67,61,English
100,Glynda Thomann,94,46,63,99,52,Algorithms
101,Nance Lindblom,100,51,68,83,85,Databases
102,Kiah Laverock,35,60,82,100,84,Databases
103,Charley Furmonger,58,86,88,65,33,Math
104,Daryle Pykerman,55,86,45,87,48,Math
105,Constantin Polak,93,90,87,87,53,Programming
106,Lida Espina,87,99,93,52,46,Algorithms
107,Winnie Cleever,76,63,40,66,66,Programming
108,Lorette Brewer,89,94,71,79,32,English
109,Trudi Andrich,63,64,97,49,52,English
110,Grete Von Welden,54,89,94,60,57,Algorithms
111,Waldemar Minchinton,70,99,65,88,90,Databases
112,Dimitri Heinle,71,64,95,78,94,Programming
113,Othilia Ughetti,36,74,45,42,33,Programming
114,Leonardo Mytton,76,42,64,98,51,Math
115,Bartholomeo Buckleigh,88,78,71,66,93,Math
116,Sheilah Blumsom,89,88,75,41,38,English
117,Mohandis Colquite,83,45,49,50,84,Databases
118,Radcliffe Killingsworth,82,65,70,80,88,Programming
119,Page Mulroy,41,86,82,63,51,Math
120,Edeline Bellany,77,46,83,85,48,Math
121,Emlyn Squelch,87,76,70,92,97,Databases
122,Patton Pentelow,55,70,42,66,31,Algorithms
123,Amber Horney,37,76,73,67,70,English
124,Beatriz Erdely,41,65,79,91,43,Programming
125,Ariadne Ostick,64,58,91,76,64,Algorithms
126,Roanne Linebarger,93,64,88,89,88,English
127,Durant Norwich,96,57,94,69,69,Programming
128,Minna Lorey,63,41,41,49,57,Algorithms
129,Brant Payle,38,83,47,90,71,Math
130,Matelda McGrann,51,85,84,79,54,Algorithms
131,Lowe Hoffmann,42,44,58,92,45,Algorithms
132,Ajay Cuddehy,81,82,67,58,55,Databases
133,Ema Currier,64,67,52,41,63,Databases
134,Artur Szymanski,86,55,72,49,89,English
135,Dorothea Beynke,100,76,79,47,96,Programming
136,Julie Ketchell,55,69,70,40,82,Databases
137,Aeriel Cowthard,62,74,45,62,51,Programming
138,Ari Bloodworth,30,79,46,100,85,Databases
139,Feodora Stede,36,58,71,45,43,Databases
140,Padraig Kinahan,37,52,93,59,54,Programming
141,Ambrosius Clowney,86,84,75,40,36,Algorithms
142,Ozzie Dugood,38,59,53,84,33,English
143,Huntley Yo,58,51,49,63,72,Databases
144,Celeste Cressingham,73,40,92,92,100,Algorithms
145,Parke Wong,53,100,49,55,73,English
146,Quillan Cashman,31,88,54,65,80,English
147,Belicia Julien,50,86,53,91,70,Databases
148,Fayette McFadin,79,53,83,43,78,Algorithms
149,Susi Hedling,50,92,100,67,51,Programming
150,Zelig Rontree,40,84,85,89,64,Math
